Gene,Value,AveExpr,t,P.Value,padj,B
Rv2641,5.692278206,12.22072191,25.67172742,7.21E-09,1.73E-05,10.83260557
Rv1954c,4.734952475,11.40097894,22.58426332,1.95E-08,1.73E-05,10.0331146
Rv2913c,5.724843379,10.75434954,21.94821106,2.43E-08,1.73E-05,9.847602724
Rv2642,5.065217205,11.08317886,21.9337524,2.45E-08,1.73E-05,9.843294089
Rv2466c,6.182880894,11.13415809,21.67221093,2.69E-08,1.73E-05,9.764633827
Rv2662,6.632829571,10.28223257,21.08742083,3.32E-08,1.73E-05,9.583679177
Rv2963,5.394211553,11.33533074,20.88289416,3.58E-08,1.73E-05,9.51868387
Rv0251c,5.78487184,12.2323857,20.82633905,3.66E-08,1.73E-05,9.500551419
Rv2034,5.046756182,10.11179735,20.67024151,3.87E-08,1.73E-05,9.45013957
Rv0967,4.892904221,12.24850512,20.05297944,4.90E-08,1.93E-05,9.245418017
Rv3252c,4.023651257,11.1439877,19.8622746,5.27E-08,1.93E-05,9.180381649
Rv0792c,5.543697934,11.48116208,19.42826441,6.26E-08,2.08E-05,9.029103236
Rv3334,4.269019675,11.58373796,19.24986931,6.72E-08,2.08E-05,8.965571987
Rv1706A,5.570703265,9.414167698,17.95811056,1.15E-07,3.30E-05,8.480600444
Rv1895,4.776474251,9.558959115,17.39526382,1.47E-07,3.94E-05,8.254636941
Rv1994c,3.762721987,12.2176208,17.1412955,1.64E-07,4.11E-05,8.149555916
Rv0837c,5.359338686,9.913948924,17.01525346,1.74E-07,4.11E-05,8.096661054
Rv2428,4.291253415,10.85578784,16.77655112,1.94E-07,4.33E-05,7.995105271
Rv3054c,6.773997899,10.43567467,16.42878069,2.27E-07,4.82E-05,7.843827925
Rv0991c,4.597677683,12.12515987,16.27004793,2.45E-07,4.88E-05,7.773437581
Rv0654,5.127293995,11.34267609,16.19052687,2.54E-07,4.88E-05,7.737850734
Rv2025c,3.472494984,9.146845252,15.60017359,3.38E-07,6.18E-05,7.466710511
Rv2659c,4.87324918,10.39418059,15.44051646,3.66E-07,6.40E-05,7.39121402
Rv2643,3.516406148,10.54328801,15.22905304,4.06E-07,6.81E-05,7.289747944
Rv1169c,5.198554051,12.02524464,14.96335423,4.65E-07,7.24E-05,7.15982271
