Gene,Value,AveExpr,t,P.Value,padj,B
Rv1698,-2.74430091,10.24406781,-12.14707218,3.16E-06,0.000174663,5.294224331
Rv0840c,5.49650651,10.84110621,12.09791321,3.25E-06,0.000174663,5.264595569
Rv1557,4.910941429,10.50461406,12.04076276,3.36E-06,0.000174663,5.22998403
Rv0687,2.818450433,11.83206188,12.0394015,3.37E-06,0.000174663,5.229157433
Rv0169,-2.603589306,10.95795865,-12.03826188,3.37E-06,0.000174663,5.228465348
Rv3424c,3.820665964,9.984545428,12.02617941,3.39E-06,0.000174663,5.221123276
Rv0822c,-2.616922079,11.3772136,-12.01396602,3.42E-06,0.000174663,5.213693457
Rv1587c,4.015709504,12.20755641,11.9908413,3.47E-06,0.000174663,5.199603296
Rv2517c,3.918404517,12.38018409,11.98829819,3.47E-06,0.000174663,5.198051937
Rv2660c,4.239040264,11.04199095,11.89381264,3.67E-06,0.000182641,5.140158164
Rv0914c,-2.511145728,10.7705112,-11.83099096,3.82E-06,0.000186909,5.101388357
Rv3362c,-3.122178071,9.494073485,-11.81573033,3.85E-06,0.000186909,5.091936709
Rv3313c,-2.855212826,9.078104577,-11.72096473,4.08E-06,0.000195717,5.032946622
Rv2011c,4.108010582,10.40554992,11.66874411,4.22E-06,0.000197929,5.000219755
Rv3793,-3.568151819,9.159982314,-11.65447147,4.25E-06,0.000197929,4.991247594
Rv2257c,-3.314672905,10.43241897,-11.64578942,4.28E-06,0.000197929,4.985784042
Rv1265,2.464817497,12.42239488,11.62710748,4.33E-06,0.000197954,4.974012769
Rv3288c,4.100823704,12.3644062,11.54224722,4.56E-06,0.000206322,4.920286571
Rvns02,3.392620804,11.77107218,11.50521906,4.67E-06,0.000208799,4.896710812
Rv1220c,-2.761596912,9.957141211,-11.47812622,4.75E-06,0.000210034,4.879409416
Rv0111,-3.083751698,8.6738164,-11.44386675,4.85E-06,0.000212263,4.857468923
Rv2639c,2.66489834,12.71590557,11.40767787,4.96E-06,0.000213627,4.834216632
Rv2617c,4.182111217,11.43331122,11.38014281,5.05E-06,0.000213627,4.81647199
Rv0454,2.593207266,9.412867444,11.36290903,5.10E-06,0.000213627,4.805342646
Rv2982c,-2.52686084,10.85830581,-11.36014164,5.11E-06,0.000213627,4.80355383
Rv2035,5.193813355,10.23976277,11.3497398,5.15E-06,0.000213627,4.796826045
Rv0409,-2.790470093,9.80842411,-11.3256982,5.23E-06,0.000214691,4.781251138
Rv2102,-2.772263044,10.15382807,-11.26552985,5.43E-06,0.000220696,4.742118108
Rv2324,2.350991798,8.356289918,11.24031541,5.52E-06,0.000220696,4.72565302
Rv2912c,5.690768635,11.21962305,11.23493983,5.54E-06,0.000220696,4.722137709
Rv3479,-2.747032449,9.839101812,-11.20617537,5.64E-06,0.000221094,4.703297216
Rv2095c,-2.605586396,9.983405555,-11.20144613,5.66E-06,0.000221094,4.700194715
Rv3130c,-2.26027809,15.07555961,-11.17367779,5.76E-06,0.0002229,4.68195009
Rv0168,-2.712577443,11.44636286,-11.15124229,5.84E-06,0.000223981,4.667174387
Rv0850,5.250101589,10.17603347,11.09668519,6.05E-06,0.000229804,4.631112979
Rv1588c,2.982067247,12.115986,11.03580229,6.29E-06,0.000234697,4.590649945
Rv3771c,2.505268592,11.18778987,11.0352535,6.30E-06,0.000234697,4.590284157
Rv3466,3.547883177,11.65966552,11.00418439,6.42E-06,0.000235632,4.56954422
Rv2084,-3.469563554,9.478827037,-11.00089314,6.44E-06,0.000235632,4.567343587
Rv3084,-2.755173778,8.768966908,-10.94449851,6.68E-06,0.000242257,4.529529165
Rv0190,2.915421207,12.74340014,10.89423232,6.90E-06,0.000248131,4.495652413
Rv1168c,3.852119067,12.78902787,10.80604403,7.32E-06,0.000259906,4.435823692
Rv0763c,3.667987668,9.402652976,10.79701252,7.36E-06,0.000259906,4.429667965
Rv1585c,5.270642723,11.85068202,10.72636795,7.71E-06,0.000270011,4.381333223
Rv0616c,3.080715001,8.402924202,10.70757322,7.81E-06,0.000271055,4.368418559
Rv0907,-2.604960981,9.831343419,-10.66474356,8.04E-06,0.000275754,4.338900949
Rv3536c,3.27483979,11.19887595,10.65625128,8.08E-06,0.000275754,4.333033693
Rv3497c,-2.400850847,9.84792885,-10.54623047,8.70E-06,0.000293754,4.256583916
Rv3094c,3.678526291,10.10322606,10.53727005,8.76E-06,0.000293754,4.250321661
Rv3270,2.624293803,13.94415629,10.50150142,8.97E-06,0.000298468,4.225269329
Rv2427c,-2.492671324,11.18903266,-10.43531314,9.38E-06,0.000307334,4.178680554
Rv2567,-2.836674084,9.885077955,-10.43434964,9.39E-06,0.000307334,4.178000141
Rv3172c,4.003222409,11.87878519,10.42065495,9.48E-06,0.000307718,4.168322202
Rv1707,4.599839452,10.85133482,10.39034109,9.68E-06,0.000310973,4.146853517
Rv0017c,-2.396576763,10.62236147,-10.37892635,9.75E-06,0.000310973,4.138752952
Rv0709,-2.123307617,12.12233211,-10.37033888,9.81E-06,0.000310973,4.132652818
Rv0969,3.073386387,13.6276893,10.3466367,9.97E-06,0.000313604,4.115789282
Rv2425c,-2.681899215,9.714232139,-10.32877381,1.01E-05,0.000315019,4.103054361
Rv3250c,3.087035947,12.32256284,10.24551235,1.07E-05,0.000331097,4.043399671
Rv0172,-2.701293684,11.48473062,-10.21969957,1.09E-05,0.000332309,4.024806082
Rv0331,3.999393308,9.860723226,10.21824492,1.09E-05,0.000332309,4.023756849
Rv2961,4.986759752,9.291837187,10.14512847,1.15E-05,0.000343949,3.970823982
Rvnt30,2.422428996,11.29684146,10.13124504,1.16E-05,0.000343949,3.960729769
Rv2174,-2.528536964,10.08855976,-10.12857911,1.16E-05,0.000343949,3.958789864
Rv2894c,-2.211114102,9.684359829,-10.12607897,1.16E-05,0.000343949,3.956970132
Rv1997,-2.306511717,13.11532749,-10.08476662,1.20E-05,0.000351479,3.926835552
Rv1752,-3.096658158,8.429480153,-10.0607712,1.22E-05,0.000353507,3.90927575
Rv3299c,-2.596377632,10.07871358,-10.05599084,1.22E-05,0.000353507,3.905772499
Rv0052,-2.570708632,9.645591641,-9.995644725,1.27E-05,0.000364977,3.861404763
Rv3495c,-2.449817185,10.1449759,-9.990576479,1.28E-05,0.000364977,3.857666338
Rv0676c,2.898770993,12.41294971,9.966188822,1.30E-05,0.000368731,3.839651157
Rv0051,-3.429831145,9.983594447,-9.941241953,1.32E-05,0.000372704,3.821177484
Rv3287c,3.73585684,12.32755833,9.931102713,1.33E-05,0.000372797,3.813656004
Rv2508c,-2.079083952,8.650552736,-9.899636034,1.36E-05,0.000378629,3.79026483
Rv0173,-2.709717307,11.7338247,-9.856273115,1.41E-05,0.000386463,3.757909473
Rv1183,-3.46114575,10.9406052,-9.851883656,1.41E-05,0.000386463,3.754626422
Rv1132,-2.398752795,9.581696656,-9.834925206,1.43E-05,0.000388553,3.741928931
Rv3467,2.34570295,12.1129672,9.821877963,1.44E-05,0.000389582,3.7321452
Rv0710,-2.19403003,12.64885847,-9.785593738,1.48E-05,0.00039707,3.704869224
Rv1282c,-2.428839581,10.55620552,-9.776728789,1.49E-05,0.00039707,3.69819002
Rv1680,-2.510240985,10.11770697,-9.76588492,1.50E-05,0.00039707,3.690011712
Rv2050,2.433915497,12.37589322,9.758746803,1.51E-05,0.00039707,3.684623356
Rv0157,-2.042093231,10.57725607,-9.723440316,1.55E-05,0.00040471,3.657914433
Rv0094c,2.33654754,12.14114264,9.700183282,1.57E-05,0.000405969,3.640268711
Rv1221,2.229498487,13.62512885,9.69310774,1.58E-05,0.000405969,3.634892082
Rv0225,-2.036118442,10.29341971,-9.692609642,1.58E-05,0.000405969,3.634513437
Rv3824c,-3.204510036,9.528183006,-9.681188562,1.60E-05,0.000406767,3.625826124
Rv3882c,-2.238881567,11.44850191,-9.671577086,1.61E-05,0.000406855,3.618507485
Rv1928c,5.79701679,10.21989144,9.655979121,1.63E-05,0.000406855,3.606615284
Rv3054c,6.791731709,10.44454158,9.655093626,1.63E-05,0.000406855,3.605939602
Rv2622,4.924446259,9.206344341,9.637133577,1.65E-05,0.000409381,3.592221982
Rv1566c,-2.081760835,11.0262344,-9.629730792,1.66E-05,0.000409381,3.586560574
Rv3901c,2.335469079,9.448455814,9.60926432,1.68E-05,0.000413028,3.570886347
Rv3493c,-3.224228073,9.680041707,-9.59024473,1.71E-05,0.000416293,3.556290995
Rv3161c,2.70946175,12.11760001,9.561216515,1.74E-05,0.000422711,3.533960724
Rv1478,-2.654120085,10.86016924,-9.430954162,1.92E-05,0.00046273,3.432937653
Rv0127,-2.217976576,10.57269954,-9.408587418,1.95E-05,0.000465117,3.415455743
Rv1438,-2.448061355,11.48074757,-9.408088599,1.95E-05,0.000465117,3.415065408
Rv3503c,2.51294143,11.98399831,9.387672892,1.98E-05,0.000467666,3.39907259
Rv3292,3.141500609,10.43227702,9.385031468,1.99E-05,0.000467666,3.397000961
Rv1712,-1.885517113,10.8711761,-9.348705948,2.04E-05,0.000477776,3.368454321
Rv1370c,2.08350346,11.68834834,9.303626563,2.11E-05,0.000491395,3.33287982
Rv2784c,2.849825403,12.65003594,9.275421415,2.16E-05,0.000499081,3.310537504
Rv2400c,3.601609054,10.95355671,9.211981478,2.26E-05,0.000517884,3.260046077
Rvnt33,2.770818239,9.8021768,9.21154157,2.26E-05,0.000517884,3.2596948
Rv2945c,-2.472817113,11.77685473,-9.191216894,2.30E-05,0.00052068,3.243447586
Rv2399c,2.65090276,11.97495769,9.189426987,2.30E-05,0.00052068,3.242015125
Rv2036,5.105333415,10.31757062,9.174119564,2.33E-05,0.00052068,3.229753742
Rv0350,2.402785027,13.78987977,9.168625209,2.34E-05,0.00052068,3.225347966
Rv1681,-2.294545609,9.641538519,-9.157415503,2.36E-05,0.00052068,3.216351413
Rv1184c,-2.698217514,11.36151578,-9.156051321,2.36E-05,0.00052068,3.215255849
Rv2948c,-2.159599063,12.75685769,-9.142866549,2.39E-05,0.00052068,3.204659267
Rv3361c,-2.821053024,9.863962915,-9.134807943,2.40E-05,0.00052068,3.198175429
Rv1894c,2.906883877,12.05974182,9.129128779,2.41E-05,0.00052068,3.193602793
Rv1990A,4.578369467,10.9437262,9.121764527,2.42E-05,0.00052068,3.187669372
Rv3291c,3.037350719,9.008117392,9.120385772,2.43E-05,0.00052068,3.186557997
Rv0140,2.649901197,12.78667902,9.118088601,2.43E-05,0.00052068,3.184705958
Rv0399c,-2.08542644,9.323721787,-9.061989384,2.54E-05,0.00054075,3.139339595
Rv0405,-1.933217963,9.712561429,-9.050572568,2.56E-05,0.000542661,3.130074516
Rv1388,-2.013499843,11.73730988,-9.041045432,2.58E-05,0.000543805,3.122334516
Rv2030c,-1.970662873,15.50973521,-9.022174035,2.62E-05,0.000548921,3.106980342
Rv0016c,-1.878575487,11.07061486,-9.009619153,2.64E-05,0.00055141,3.09674864
Rv2725c,-2.045030707,11.250329,-9.000630626,2.66E-05,0.000551795,3.089415116
Rv0446c,-1.939385755,9.609024799,-8.995418429,2.67E-05,0.000551795,3.08515945
Rv0202c,-1.861430932,10.59795871,-8.979030836,2.71E-05,0.000556008,3.071764143
Rv2426c,-2.335110053,10.60643198,-8.954511511,2.76E-05,0.000563835,3.051678941
Rv2254c,3.089728647,8.964314852,8.91589818,2.84E-05,0.000573596,3.019943648
Rv2857c,-1.998692048,10.3668553,-8.91006476,2.86E-05,0.000573596,3.015138118
Rv0770,4.435877776,11.06900605,8.906036481,2.87E-05,0.000573596,3.011817931
Rv0919,2.727202965,9.640818851,8.900170688,2.88E-05,0.000573596,3.006980715
Rv3813c,-2.159021479,9.737501327,-8.896988998,2.89E-05,0.000573596,3.004355693
Rv0773c,-2.014888796,9.404918422,-8.891313009,2.90E-05,0.000573596,2.999670592
Rv2504c,2.276812967,10.78710826,8.887835185,2.91E-05,0.000573596,2.996798528
Rv1639c,-1.838913453,11.52988448,-8.821239632,3.06E-05,0.00059978,2.941599113
Rv0014c,-1.976327535,11.15875255,-8.818644635,3.07E-05,0.00059978,2.939440331
Rv3681c,2.635439283,11.34840787,8.786788582,3.15E-05,0.000610964,2.912890975
Rv3167c,2.456488568,8.67490403,8.779125546,3.17E-05,0.000610964,2.906491132
Rv1697,-2.476055211,11.2956744,-8.776973565,3.17E-05,0.000610964,2.904692956
Rv2032,-2.494188707,13.86904711,-8.746978515,3.25E-05,0.000621455,2.879586694
Rv2620c,2.302501123,13.02181962,8.739979211,3.27E-05,0.000621455,2.873716702
Rv3131,-1.857478953,15.0326391,-8.737549816,3.27E-05,0.000621455,2.871678263
Rv2537c,-2.188707806,10.39380264,-8.716583636,3.33E-05,0.000628943,2.854064289
Rv3693,-2.507189131,9.101739928,-8.701704196,3.37E-05,0.000633472,2.841540086
Rv1733c,-2.359037223,13.81864778,-8.678518108,3.43E-05,0.000642309,2.821984609
Rv1956,3.337549355,10.42735225,8.612179469,3.62E-05,0.000674271,2.765766608
Rv2465c,3.077180537,12.11679381,8.592593122,3.68E-05,0.000681834,2.749092256
Rv0459,-2.446373977,10.54989172,-8.583251936,3.70E-05,0.000683608,2.741127588
Rv1445c,-2.569554537,10.22086883,-8.577999005,3.72E-05,0.000683608,2.73664524
Rv0540,-2.142377667,8.139444338,-8.567247289,3.75E-05,0.000686436,2.727462911
Rv1527c,-1.797879877,9.089897112,-8.5475159,3.81E-05,0.000692083,2.710584169
Rv3417c,2.500609467,13.23152268,8.545930883,3.82E-05,0.000692083,2.709226759
Rv2657c,3.018852333,11.47776404,8.535348239,3.85E-05,0.000694912,2.700157872
Rv3662c,-2.063418615,9.287883426,-8.509323114,3.93E-05,0.000706226,2.677811677
Rv2680,-2.098192612,10.96082991,-8.504458203,3.95E-05,0.000706226,2.673627558
Rvnt19,3.519650102,9.412184712,8.496828832,3.97E-05,0.000707477,2.667061442
Rv1714,-2.730432163,9.445081265,-8.478507677,4.03E-05,0.000714949,2.651271632
Rv2626c,-2.068958247,15.21697338,-8.460259762,4.09E-05,0.00071961,2.635514056
Rv2612c,-2.375318151,10.76136387,-8.455285043,4.11E-05,0.00071961,2.631212891
Rv2679,-2.215966969,10.67099463,-8.454457066,4.11E-05,0.00071961,2.630496795
Rv3671c,-2.169352953,11.16938792,-8.439099716,4.16E-05,0.000722435,2.617203065
Rv0803,-2.010348173,10.53364082,-8.439075954,4.16E-05,0.000722435,2.617182479
Rv2482c,-1.993156922,10.08929092,-8.41088333,4.26E-05,0.000735848,2.592720918
Rv0934,-2.587923909,11.10993987,-8.40154294,4.29E-05,0.000735848,2.58460027
Rv3282,-2.118123146,10.16417095,-8.398975644,4.30E-05,0.000735848,2.5823668
Rv0221,-2.072365983,10.93303188,-8.393166144,4.32E-05,0.000735848,2.577310431
Rv2780,2.420629807,12.73693113,8.390653145,4.33E-05,0.000735848,2.57512223
Rv2707,2.058276967,13.08552213,8.384100434,4.36E-05,0.000736716,2.569413653
Rv0188,1.753370593,11.60580736,8.377484973,4.38E-05,0.000737638,2.563646316
Rv2937,-1.772807583,12.22016994,-8.369640495,4.41E-05,0.000738689,2.556802194
Rv3318,-2.009247286,9.299203189,-8.365640851,4.42E-05,0.000738689,2.553310369
Rv1430,1.74598356,9.151354402,8.358701753,4.45E-05,0.000739857,2.547248725
Rv0862c,-2.30577348,8.97016959,-8.350351108,4.48E-05,0.000741907,2.539948002
Rv2609c,-2.686870263,10.49458294,-8.338192468,4.52E-05,0.000746324,2.529306287
Rv1936,1.989247523,8.315312758,8.329501501,4.56E-05,0.000748638,2.521691042
Rv0981,-1.83794403,11.03571636,-8.31879712,4.60E-05,0.00075223,2.512301758
Rv0765c,4.869050955,11.63496528,8.295060708,4.69E-05,0.000759299,2.491442685
Rv2955c,-2.015045276,9.718442416,-8.2935208,4.69E-05,0.000759299,2.490087594
Rv3269,2.282586553,13.61851418,8.291274461,4.70E-05,0.000759299,2.48811045
Rv0839,2.12750888,11.04845205,8.288069756,4.71E-05,0.000759299,2.485288957
Rv2530A,-1.936850547,10.71816471,-8.281874413,4.74E-05,0.000760177,2.479831662
Rv3330,-2.111465281,9.227144026,-8.270804171,4.78E-05,0.000764162,2.470071088
Rv2651c,2.718334703,12.03159579,8.250166485,4.87E-05,0.000774338,2.451843649
Rv2771c,-2.134289047,10.48429446,-8.231132173,4.94E-05,0.000780718,2.43499611
Rv3888c,-2.324916741,9.32000226,-8.230898167,4.94E-05,0.000780718,2.434788772
Rv2054,-1.892951125,9.863755114,-8.222075533,4.98E-05,0.000783335,2.426967718
Rv2278,1.86922165,11.87516944,8.21754886,5.00E-05,0.000783335,2.42295202
Rv0458,-1.932422819,10.62872074,-8.212476007,5.02E-05,0.000783618,2.418449448
Rv0722,-1.698289327,11.7837262,-8.193171828,5.10E-05,0.000793318,2.401292688
Rv3823c,-2.856976512,11.05802342,-8.177650769,5.17E-05,0.000800626,2.387472055
Rv2221c,-1.826884234,10.66350208,-8.172711009,5.19E-05,0.000800875,2.383068576
Rv0906,-1.925867633,11.23255866,-8.161501693,5.24E-05,0.000805372,2.373067398
Rv3255c,-2.500654674,10.97315271,-8.138660967,5.34E-05,0.000817892,2.352650591
Rv2016,4.998130121,10.67685697,8.131614787,5.37E-05,0.00081965,2.346341901
Rv1447c,-2.067136868,10.86680767,-8.125386533,5.40E-05,0.000820646,2.340761489
Rv3545c,3.843427954,11.26775896,8.12123486,5.42E-05,0.000820646,2.337039552
Rv1614,-2.056022227,12.35345877,-8.110035422,5.47E-05,0.000822567,2.326990938
Rv3833,4.866358888,9.864612579,8.099715446,5.52E-05,0.000822567,2.317720528
Rv1763,2.159990606,11.42366808,8.096297599,5.54E-05,0.000822567,2.314647978
Rv1437,-1.735169957,12.07672467,-8.09622955,5.54E-05,0.000822567,2.314586792
Rv3531c,4.451966018,11.08578187,8.094662741,5.55E-05,0.000822567,2.313177881
Rv0708,-1.65385028,13.13390625,-8.092098224,5.56E-05,0.000822567,2.310871285
Rv1182,-3.046520526,10.59119963,-8.078576413,5.62E-05,0.000829002,2.298698706
Rv1817,3.049836791,9.021278878,8.020760748,5.90E-05,0.000864776,2.246448314
Rv0212c,1.902163543,9.182939859,8.02033329,5.91E-05,0.000864776,2.246060769
Rv1569,-3.161555747,9.14466764,-8.009242759,5.96E-05,0.00086984,2.235999425
Rv0646c,-2.715257024,10.81021768,-8.003156017,5.99E-05,0.000871219,2.230472318
Rv3487c,-1.858824057,12.33470401,-7.989713263,6.06E-05,0.000875493,2.218252442
Rv0153c,-1.853625507,9.484961193,-7.989023179,6.07E-05,0.000875493,2.217624648
Rv1807,2.512272637,8.108093383,7.974663675,6.14E-05,0.000883162,2.20455048
Rv3305c,-2.374244852,10.98652058,-7.965957333,6.19E-05,0.000886614,2.196613398
Rv0800,-1.998648571,8.219369427,-7.943411729,6.31E-05,0.000900746,2.176024482
Rv0734,-1.982946797,11.15628418,-7.935443764,6.35E-05,0.000903736,2.168735815
Rv2738c,-1.953682383,10.41417744,-7.931000109,6.38E-05,0.000904006,2.164668219
Rv3197A,2.223367051,9.757754935,7.900555609,6.55E-05,0.000924797,2.136746553
Rv0174,-1.871227617,12.5916455,-7.892418718,6.59E-05,0.000928066,2.129268053
Rv0890c,-2.305035985,8.498376202,-7.884326557,6.64E-05,0.000931326,2.121824001
Rv2515c,4.335924328,10.12766814,7.840100971,6.90E-05,0.000964163,2.081022738
Rv3526,2.67870648,12.09311951,7.836364642,6.92E-05,0.000964163,2.077566561
Rv2640c,2.81861367,12.06233652,7.829982699,6.96E-05,0.000966186,2.071659835
Rv0868c,-3.868955834,9.377006143,-7.790244469,7.20E-05,0.000995569,2.034786573
Rv2632c,1.73258566,11.67027314,7.786012327,7.23E-05,0.000995569,2.030849977
Rv1280c,-2.218304983,9.486577072,-7.783827478,7.25E-05,0.000995569,2.02881698
Rv1825,-2.157287891,10.44529344,-7.778675845,7.28E-05,0.000996662,2.02402145
Rv3340,2.784730813,11.82715787,7.757377114,7.42E-05,0.001008582,2.004165857
Rv2936,-1.591038983,12.38048014,-7.757352866,7.42E-05,0.001008582,2.004143224
Rv2681,-2.104008255,10.4625016,-7.733745509,7.57E-05,0.001020313,1.982080438
Rv0769,3.311649953,11.84515845,7.733407064,7.57E-05,0.001020313,1.981763715
Rv1296,-2.326527383,11.11585268,-7.732686769,7.58E-05,0.001020313,1.981089612
Rv1851,-2.30736429,8.560064022,-7.725901871,7.62E-05,0.001021995,1.97473717
Rv2312,1.748757309,9.078301441,7.722361951,7.65E-05,0.001021995,1.971420976
Rv0884c,-1.635453675,10.48883207,-7.719057145,7.67E-05,0.001021995,1.968323857
Rv0080,-1.61453604,14.18618867,-7.715703373,7.69E-05,0.001021995,1.965179686
Rv1180,-2.312249611,11.33883041,-7.70484301,7.77E-05,0.001024997,1.954990008
Rv1801,2.906279668,8.992542742,7.704383214,7.77E-05,0.001024997,1.954558336
Rv1713,-2.542347579,11.06226371,-7.70119097,7.79E-05,0.001024997,1.951560734
Rv0205,-1.830405799,9.573898397,-7.678571227,7.95E-05,0.001042261,1.930289647
Rv2619c,2.712022657,12.19534992,7.674061141,7.98E-05,0.001043027,1.926042053
Rv3249c,2.62104715,12.00688902,7.66029046,8.08E-05,0.001052395,1.913059622
Rv1757c,1.95556321,11.63236866,7.648456787,8.16E-05,0.001055993,1.901887384
Rv3303c,-1.774609221,9.36208028,-7.647420511,8.17E-05,0.001055993,1.900908328
Rv2151c,-1.832930747,11.10021684,-7.645534756,8.18E-05,0.001055993,1.899126407
