Gene,Value,AveExpr,t,P.Value,padj,B
Rv0848,7.520948759,11.12955154,32.17057298,2.32E-09,7.72E-06,11.47103453
Rv1706A,6.795462768,10.02654745,30.09151253,3.83E-09,7.72E-06,11.140936
Rv2963,6.131039766,11.70374485,24.98823809,1.54E-08,1.93E-05,10.13191192
Rv2662,7.438402325,10.68501895,23.93666387,2.13E-08,1.93E-05,9.880675738
Rv2642,6.164810435,11.63297548,23.54974594,2.40E-08,1.93E-05,9.783819043
Rv0846c,6.44433596,10.4634546,22.77999764,3.08E-08,2.06E-05,9.583615243
Rv0792c,6.080122441,11.74937433,22.31887471,3.58E-08,2.06E-05,9.458666489
Rv2641,5.598231419,12.17369852,21.30621108,5.06E-08,2.30E-05,9.170195402
Rv2661c,5.261513872,10.42734715,21.25887302,5.15E-08,2.30E-05,9.156215779
Rv2659c,5.538830027,10.72697101,20.90229626,5.84E-08,2.35E-05,9.049432526
Rv1994c,4.262264843,12.46739223,20.50883018,6.73E-08,2.46E-05,8.928493537
Rv2962c,5.934716579,10.97196899,19.5845958,9.47E-08,2.95E-05,8.630907558
Rv0678,4.560255402,11.31974467,19.5698676,9.53E-08,2.95E-05,8.626005543
Rv2643,5.734737975,11.65245393,18.9163989,1.23E-07,3.18E-05,8.403204982
Rv0251c,5.06355964,11.8717296,18.81628441,1.27E-07,3.18E-05,8.368131384
Rv3251c,5.228771017,10.69308626,18.80231319,1.28E-07,3.18E-05,8.363216438
Rv2466c,6.465935057,11.27568517,18.68596251,1.34E-07,3.18E-05,8.322090337
Rv0837c,6.556421486,10.51249032,18.09987748,1.70E-07,3.80E-05,8.109508689
Rv0767c,5.986964447,10.59755686,17.79742687,1.93E-07,4.08E-05,7.9961477
Rv0990c,6.685780791,10.74182157,17.2516799,2.42E-07,4.88E-05,7.784986388
Rv0847,7.042874824,11.3836377,17.11875171,2.57E-07,4.92E-05,7.732221489
Rv0967,4.770762058,12.18743404,16.80678792,2.94E-07,5.11E-05,7.606269186
Rv3795,-3.607903826,9.071844444,-16.68915525,3.10E-07,5.11E-05,7.557988759
Rv0791c,6.58764593,11.37084847,16.66290162,3.13E-07,5.11E-05,7.547153575
Rv0324,3.648808468,10.15193212,16.59427165,3.23E-07,5.11E-05,7.518725298
Rv3334,4.010143345,11.45429979,16.54610667,3.30E-07,5.11E-05,7.49868395
Rv2034,5.347084152,10.26196134,16.46175896,3.43E-07,5.11E-05,7.463406564
Rv0991c,4.624953113,12.13879759,16.27316643,3.73E-07,5.19E-05,7.383689308
Rv3252c,4.882820184,11.57357217,16.26955416,3.74E-07,5.19E-05,7.382150964
Rv2913c,7.062991796,11.42342375,15.9601997,4.30E-07,5.77E-05,7.248781082
Rv1993c,5.218018273,11.40507778,15.81463533,4.60E-07,5.98E-05,7.184893937
Rv0766c,6.108507843,11.71934792,15.71959327,4.81E-07,6.05E-05,7.142782202
Rv3158,-3.69556737,11.27375857,-15.53531664,5.25E-07,6.40E-05,7.060220938
Rv0836c,5.174914985,10.26367128,15.20934175,6.13E-07,7.26E-05,6.911163788
Rv2658c,5.801301755,10.18316758,15.1477407,6.32E-07,7.27E-05,6.88255421
Rv2964,6.604410771,10.07802398,15.04514172,6.64E-07,7.43E-05,6.834586469
Rv2663,5.82507538,10.95355486,14.93199578,7.02E-07,7.62E-05,6.781223035
Rv2621c,3.568477425,11.88546435,14.88209339,7.19E-07,7.62E-05,6.757530914
Rv2600,-3.162313114,10.17890303,-14.43843452,8.98E-07,9.27E-05,6.542584557
Rv3884c,-3.444451804,9.644871668,-14.1991975,1.01E-06,0.000101924,6.42336835
Rv1895,6.440728754,10.39108637,14.15491284,1.04E-06,0.000101924,6.401038835
Rv2627c,-3.78911895,14.32727918,-14.04010509,1.10E-06,0.000103966,6.342762984
Rv0849,6.780872746,11.13511556,14.02483489,1.11E-06,0.000103966,6.33496956
Rv0280,-4.423804199,10.2499946,-13.90479095,1.18E-06,0.000104254,6.273353188
Rv2694c,3.527395507,11.55040162,13.8979168,1.19E-06,0.000104254,6.269805918
Rv0677c,3.67798195,12.74184508,13.89063454,1.19E-06,0.000104254,6.266045808
Rv1169c,5.324418038,12.08817663,13.67656915,1.33E-06,0.000111919,6.154474341
Rv1471,5.500356022,10.09534436,13.64653621,1.36E-06,0.000111919,6.138658341
Rv0790c,6.45645498,11.34131341,13.63761756,1.36E-06,0.000111919,6.133953794
Rv2025c,5.758599077,10.2898973,13.59278244,1.40E-06,0.000112346,6.110249238
Rv0841,4.637753914,9.80333108,13.55192979,1.43E-06,0.000112586,6.088571145
Rv1586c,5.045195493,12.19171247,13.47766608,1.48E-06,0.000114932,6.048969354
Rv1929c,2.902260052,11.47438408,13.41602203,1.53E-06,0.000115777,6.015905194
Rv3290c,3.640051637,12.96954774,13.39454285,1.55E-06,0.000115777,6.004343197
Rv3289c,3.66482034,12.68299796,13.27095558,1.66E-06,0.000121607,5.937400654
Rv0170,-2.79123306,11.51114256,-13.15734355,1.77E-06,0.000127144,5.875227882
Rv2699c,3.508998951,10.47992901,13.08362152,1.84E-06,0.000130122,5.834555567
Rv1954c,2.792345388,10.42967539,12.86192324,2.09E-06,0.000142251,5.710658458
Rv0968,3.780965153,13.38005504,12.85298692,2.10E-06,0.000142251,5.705613779
Rv0768,6.4443229,11.41927482,12.83314973,2.12E-06,0.000142251,5.694401257
Rv2516c,3.71874145,12.40596722,12.77639816,2.19E-06,0.000143067,5.662215537
Rv1955,3.618016319,10.65413407,12.76523696,2.20E-06,0.000143067,5.655866715
Rv0118c,-4.221569142,10.37430103,-12.72431779,2.26E-06,0.000144114,5.632537169
Rv2664,4.6759667,11.46265609,12.69205387,2.30E-06,0.000144498,5.614082827
Rv3463,6.810475316,10.59182139,12.63689545,2.37E-06,0.00014684,5.582411137
Rv3098c,3.830011305,10.82171072,12.36335218,2.78E-06,0.000169456,5.423030846
Rv2101,-2.735939918,10.09889489,-12.31953391,2.85E-06,0.00017127,5.397136509
Rv1992c,4.130625693,11.87394414,12.25315101,2.96E-06,0.000174423,5.357713176
Rv0384c,3.680705996,11.39204439,12.23863044,2.99E-06,0.000174423,5.349058332
Rv3431c,-3.730845623,8.887675275,-12.19435146,3.07E-06,0.000174564,5.322596295
Rv0171,-2.993207919,11.07408882,-12.18899018,3.08E-06,0.000174564,5.319385107
