Gene,Value,AveExpr,t,P.Value,padj,B
Rv0335c,1.314565847,9.747299873,5.259220515,0.000711022,0.002549043,-0.503414279
Rv2581c,-1.271516313,11.46116455,-5.256270609,0.000713616,0.002556066,-0.507296783
Rv2307c,1.333009335,9.16243325,5.253835508,0.000715765,0.002561485,-0.51050268
Rv0497,-1.288004584,10.88229023,-5.252626982,0.000716834,0.002563033,-0.512094066
Rv1875,2.350742673,10.62199632,5.250672474,0.000718567,0.002566949,-0.51466821
Rv1158c,-2.038581935,10.04607644,-5.244864349,0.000723743,0.002583148,-0.522320949
Rv0421c,-2.932095007,9.64246125,-5.244120734,0.000724409,0.002583234,-0.523301083
Rv1900c,-1.20479021,10.80828114,-5.233658293,0.000733846,0.00261457,-0.537099792
Rv2749,-1.931120523,9.865646415,-5.228603371,0.000738453,0.002628659,-0.543772322
Rv1990A,2.689809304,9.999446118,5.221923625,0.00074459,0.002648163,-0.552595322
Rv1662,-1.11692448,9.386425659,-5.210192616,0.000755503,0.002684603,-0.56810601
Rv1010,-2.0364268,10.90607643,-5.208979389,0.000756642,0.002686278,-0.569711274
Rv1127c,-1.124571131,10.26592705,-5.197595225,0.000767417,0.002722131,-0.58478449
Rv0197,1.066161941,8.302659986,5.186883149,0.000777708,0.002756106,-0.598985033
Rv2794c,-1.59710698,11.57798989,-5.186206368,0.000778364,0.002756106,-0.599882774
Rv2736c,-1.793533006,10.36560805,-5.184806274,0.000779721,0.002758486,-0.601740189
Rv0690c,-2.366456554,10.20659506,-5.183598025,0.000780895,0.00275991,-0.603343325
Rv3499c,-1.659264943,10.11287254,-5.182981341,0.000781494,0.00275991,-0.60416164
Rv0577,-1.580539817,10.65887373,-5.180863733,0.000783558,0.002764771,-0.60697204
Rv2065,-1.236800394,9.917990433,-5.17825752,0.000786105,0.002770793,-0.61043179
Rv1011,-1.155670277,8.949973578,-5.177710484,0.000786641,0.002770793,-0.611158107
Rv2978c,-1.373018857,11.46612486,-5.176532872,0.000787796,0.002772053,-0.612721807
Rv1210,-1.431103931,11.08030168,-5.175942191,0.000788376,0.002772053,-0.613506222
Rv2130c,-1.07296711,11.78909333,-5.166228051,0.000797981,0.002803378,-0.626413735
Rv0254c,1.645535073,8.514774414,5.165035002,0.000799169,0.002805105,-0.627999927
Rv3626c,-1.54182777,11.47742266,-5.162054281,0.000802147,0.002813104,-0.631963785
Rv3488,1.800453915,7.451998289,5.158979754,0.000805231,0.002821462,-0.636053743
Rv1961,1.184963003,8.236811907,5.154814321,0.00080943,0.002833708,-0.6415971
Rv0043c,-1.368236027,9.198364475,-5.148285558,0.000816059,0.002853128,-0.650290657
Rv3586,-1.36977441,9.856579435,-5.147957069,0.000816394,0.002853128,-0.65072823
Rv1183,-2.196911056,11.57272255,-5.141948181,0.000822551,0.002872151,-0.658735306
Rv1226c,-1.340187908,10.57091847,-5.140196706,0.000824355,0.002874991,-0.661070205
Rv0370c,1.366180808,7.822387279,5.139278143,0.000825303,0.002874991,-0.662294923
Rv1822,-1.811089218,10.09750678,-5.139080763,0.000825507,0.002874991,-0.662558106
Rv1687c,1.411066157,8.705348885,5.137835552,0.000826794,0.002876986,-0.664218576
Rv1625c,-1.684131659,10.27272379,-5.132441142,0.000832395,0.002892349,-0.671414548
Rv1707,2.03677468,9.569802438,5.132200702,0.000832646,0.002892349,-0.671735385
Rv1333,-1.414037827,11.95926922,-5.130617953,0.000834298,0.002895589,-0.673847583
Rv1336,-2.159098086,11.25065188,-5.126737802,0.000838363,0.002907191,-0.679027233
Rv2008c,1.173930188,7.562919148,5.123443657,0.000841831,0.002915244,-0.683426342
Rv1166,-1.284610817,11.61313157,-5.123156748,0.000842133,0.002915244,-0.683809564
Rv3495c,-1.496939542,10.62141472,-5.119982222,0.000845491,0.002924354,-0.688050557
Rv2678c,-1.958765777,11.66987375,-5.112809587,0.000853133,0.002948251,-0.697638214
Rv2016,2.940934765,9.648259295,5.110643296,0.000855455,0.002953742,-0.700535369
Rv1889c,1.764402747,8.459807477,5.109741964,0.000856424,0.002954551,-0.701740994
Rv2530A,-1.786915619,10.79313218,-5.101790498,0.000865019,0.002981648,-0.712382037
Rv2418c,-1.505100832,8.808162523,-5.095967726,0.000871372,0.003000979,-0.720180203
Rv1683,-1.15739907,10.64869642,-5.093748287,0.000873807,0.003006794,-0.723153896
Rv0188,1.72601999,11.59213206,5.091235309,0.000876574,0.003013736,-0.72652175
Rv3714c,-1.304214721,8.678501779,-5.08910138,0.00087893,0.00301926,-0.729382333
Rv3799c,-1.224658307,13.53604933,-5.08591378,0.000882463,0.003028811,-0.733656623
Rv0382c,-1.776581217,11.2983517,-5.085053797,0.000883419,0.003029509,-0.734810039
Rv0910,-1.2350917,11.32609864,-5.083397728,0.000885262,0.003033248,-0.737031473
Rv2124c,-1.420761803,11.43650903,-5.08085066,0.000888106,0.003036788,-0.740448868
Rv2384,1.126035132,7.259249247,5.080552971,0.000888439,0.003036788,-0.740848338
Rv2847c,-1.500120833,10.04600085,-5.080446414,0.000888559,0.003036788,-0.740991331
Rv3411c,-1.25450459,12.77314715,-5.079544647,0.000889568,0.003037661,-0.742201508
Rv0815c,1.31982252,12.88329486,5.076980466,0.000892447,0.003044907,-0.745643307
Rv3032,-1.72422622,8.832499253,-5.076014111,0.000893534,0.003046035,-0.746940656
Rv2366c,-2.062236296,11.59351386,-5.074734216,0.000894976,0.003046778,-0.748659148
Rv2594c,-1.226871058,9.679803011,-5.074477769,0.000895266,0.003046778,-0.749003504
Rv3655c,-1.242426984,8.305660289,-5.07306485,0.000896861,0.003048973,-0.750900934
Rv0673,-1.440343197,11.6426794,-5.072566364,0.000897425,0.003048973,-0.751570429
Rv3049c,-1.042818833,12.4020518,-5.070701799,0.000899537,0.003053572,-0.754074964
Rv3526,1.74079111,11.62416183,5.066039671,0.000904842,0.00306791,-0.760339482
Rv1772,1.297775697,11.90591696,5.065651419,0.000905285,0.00306791,-0.760861321
Rv3509c,-1.46773477,9.57463867,-5.064625023,0.000906458,0.003069302,-0.762240977
Rv3609c,-1.215177373,11.79999297,-5.056592387,0.000915696,0.003097976,-0.773043558
Rv1787,1.375932914,10.48849415,5.046014348,0.000928018,0.003137027,-0.787283657
Rv1670,2.051262079,9.177525694,5.043969516,0.00093042,0.003140407,-0.790038283
Rv1520,1.103291268,8.095347513,5.043424106,0.000931062,0.003140407,-0.790773116
Rv2986c,-1.094121873,13.30268873,-5.043173376,0.000931358,0.003140407,-0.79111094
Rv2940c,-1.528909703,13.04412661,-5.040452433,0.000934569,0.003148597,-0.794777629
Rv0694,-2.735225388,11.79973487,-5.03606418,0.000939773,0.003163483,-0.800693427
Rv2921c,-2.065156671,11.00144985,-5.035167878,0.00094084,0.003164429,-0.801902078
Rv2554c,-1.573034827,12.34371244,-5.031041887,0.000945768,0.00317833,-0.807467425
Rv2023A,-1.753868977,8.692897665,-5.030359957,0.000946585,0.00317833,-0.808387488
Rv1585c,1.748535439,10.08962838,5.029729594,0.000947341,0.00317833,-0.809238035
Rv0513,-2.686169431,12.25411958,-5.024929833,0.00095312,0.003195055,-0.815716246
Rv3379c,1.078144287,7.468944963,5.024242085,0.000953951,0.003195181,-0.816644771
Rv3169,1.348068979,9.674026057,5.02147853,0.000957299,0.003201666,-0.820376531
Rv0795,1.376980997,11.90912588,5.021331177,0.000957478,0.003201666,-0.82057554
Rv1566c,-1.368790143,11.38271975,-5.02009023,0.000958986,0.003204047,-0.822251639
Rv0244c,1.246744053,12.00161729,5.017897753,0.000961656,0.003209653,-0.825213482
Rv2713,-1.152157674,10.11237641,-5.01740428,0.000962258,0.003209653,-0.825880216
Rv1358,1.055051727,7.197212135,5.016093417,0.000963859,0.003212333,-0.827651506
Rv3101c,1.597433588,10.9950324,5.014820585,0.000965417,0.003213821,-0.829371647
Rv1743,-1.100642486,10.21567026,-5.014424574,0.000965902,0.003213821,-0.829906877
Rv2698,1.771086546,9.891614657,5.007771581,0.000974094,0.0032384,-0.838902155
Rv3335c,-1.34024982,11.82610849,-5.006464908,0.000975712,0.003241102,-0.84066962
Rv3825c,-2.51676386,11.34625062,-4.998139745,0.000986088,0.003272868,-0.851936477
Rv0290,-2.441815257,12.81315247,-4.997011994,0.000987503,0.003274864,-0.853463496
Rv0022c,1.264122328,7.288548028,4.992582763,0.00099308,0.003290652,-0.859462649
Rv0859,-1.678019063,11.92977108,-4.991846715,0.000994011,0.003291026,-0.860459863
Rv2328,-1.301574261,9.963539583,-4.981591412,0.001007071,0.003327394,-0.874362217
Rv2349c,-1.641775238,8.387285523,-4.981485071,0.001007207,0.003327394,-0.874506456
